# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Oct  3 16:09:55 2025
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN k2_name:        K2 ID
# COLUMN default_flag:   Default Parameter Set
# COLUMN disposition:    Archive Disposition
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN pl_trandep:     Transit Depth [%]
# COLUMN pl_trandeperr1: Transit Depth Upper Unc. [%]
# COLUMN pl_trandeperr2: Transit Depth Lower Unc. [%]
# COLUMN pl_trandeplim:  Transit Depth Limit Flag
# COLUMN pl_trandur:     Transit Duration [hours]
# COLUMN pl_trandurerr1: Transit Duration Upper Unc. [hours]
# COLUMN pl_trandurerr2: Transit Duration Lower Unc. [hours]
# COLUMN pl_trandurlim:  Transit Duration Limit Flag
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN pl_ratrorerr1:  Ratio of Planet to Stellar Radius Upper Unc.
# COLUMN pl_ratrorerr2:  Ratio of Planet to Stellar Radius Lower Unc.
# COLUMN pl_ratrorlim:   Ratio of Planet to Stellar Radius Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_denserr1:    Stellar Density Upper Unc. [g/cm**3]
# COLUMN st_denserr2:    Stellar Density Lower Unc. [g/cm**3]
# COLUMN st_denslim:     Stellar Density Limit Flag
#
loc_rowid,pl_name,hostname,k2_name,default_flag,disposition,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_dens,st_denserr1,st_denserr2,st_denslim
13,EPIC 201166680.01,K2-243,,1,CANDIDATE,18.10549000000,0.01008300000,-0.01289700000,0,,,,,2.09985108,0.30569846,-0.20056538,0,,,,,,,,,,,,,,,,,0.01571900,0.00173400,-0.00118800,0,6213.00,50.00,-50.00,0,1.224685,0.116310,-0.071545,0,,,,,,,,,4.320000,0.100000,-0.100000,0,,,,
14,EPIC 201170410.02,EPIC 201170410,K2-327 b,1,CONFIRMED,6.79870000000,0.00010000000,-0.00010000000,0,0.0349000000,0.0027000000,-0.0022000000,0,1.04700000,0.27600000,-0.25700000,0,,,,,,,,,,,,,,,,,0.03400000,0.00070000,-0.00060000,0,3648.00,172.00,-143.00,0,0.282000,0.074000,-0.069000,0,0.287000,0.101000,-0.084000,0,,,,,4.999000,0.075000,-0.075000,0,,,,
15,EPIC 201176672.01,EPIC 201176672,,1,CANDIDATE,79.99990000000,0.00980000000,-0.00980000000,0,,,,,10.20000000,2.10000000,-2.10000000,0,,,,,,,,,,,,,11.7504000,0.1704000,-0.1704000,0,0.18000000,0.01100000,-0.01100000,0,4542.00,130.00,-130.00,0,0.508000,0.098000,-0.098000,0,,,,,,,,,4.747000,0.097000,-0.097000,0,,,,
16,EPIC 201176672.02,EPIC 201176672,,1,CANDIDATE,,,,,,,,,30.00000000,8.30000000,-10.60000000,0,,,,,,,,,3.06000000,0.01100000,-0.01200000,0,14.4720000,0.1920000,-0.2160000,0,0.39000000,0.10000000,-0.14000000,0,,,,,0.707000,0.050000,-0.050000,0,,,,,,,,,,,,,,,,
17,EPIC 201180665.01,EPIC 201180665,,1,CANDIDATE,17.77297000000,0.00009000000,-0.00009000000,0,,,,,26.44000000,0.65000000,-0.65000000,0,,,,,830.00,34.00,-33.00,0,3.66200000,,,0,2.8992000,,,0,0.18920000,0.00080000,-0.00090000,0,5847.00,82.63,-157.44,0,1.254280,0.066004,-0.055051,0,1.060000,0.116397,-0.152212,0,0.21921,0.01872,-0.01831,0,4.266590,0.079353,-0.076592,0,0.757342,0.188168,-0.136381,0
18,EPIC 201182911.01,EPIC 201182911,,1,CANDIDATE,0.99656225000,,,0,,,,,32.80000000,,,0,,,,,,,,,35.50000000,,,0,2.2600000,,,0,0.62560000,,,0,3727.00,,,0,0.500000,,,0,,,,,,,,,,,,,,,,
19,EPIC 201197348.01,EPIC 201197348,,0,CANDIDATE,14.91238100000,,,0,,,,,3.55000000,,,0,,,,,,,,,0.25200000,,,0,3.0300000,,,0,0.04445000,,,0,4224.00,,,0,0.650000,,,0,,,,,,,,,,,,,,,,
20,EPIC 201197348.01,EPIC 201197348,,1,CANDIDATE,14.91390000000,0.00180000000,-0.00200000000,0,,,,,3.24000000,0.33000000,-0.56000000,0,,,,,,,,,0.24000000,0.01700000,-0.01800000,0,3.2640000,0.2400000,-0.3120000,0,0.04600000,0.00380000,-0.00780000,0,,,,,0.647000,0.038000,-0.024000,0,,,,,,,,,,,,,,,,
21,EPIC 201231940.01,EPIC 201231940,,1,CANDIDATE,0.57303573000,,,0,,,,,3.35000000,,,0,,,,,,,,,0.51000000,,,0,0.3200000,,,0,0.09028000,,,0,3570.00,,,0,0.430000,,,0,,,,,,,,,,,,,,,,
22,EPIC 201238110 b,EPIC 201238110,K2-296 b,1,CONFIRMED,28.16560000000,0.00270000000,-0.00280000000,0,,,,,1.87000000,0.20000000,-0.45000000,0,,,,,,,,,,,,,,,,,0.04580000,0.00210000,-0.00220000,0,,,,,,,,,0.410000,0.112000,-0.048000,0,,,,,,,,,,,,
23,EPIC 201238110 b,EPIC 201238110,K2-296 b,0,CONFIRMED,28.16960000000,0.00380000000,-0.00430000000,0,,,,,2.20000000,0.54000000,-0.30000000,0,,,,,,,,,0.31600000,0.02300000,-0.02400000,0,3.3600000,0.1920000,-0.2640000,0,0.05400000,0.00340000,-0.00540000,0,,,,,0.374000,0.089000,-0.035000,0,,,,,,,,,,,,,,,,
24,EPIC 201238110.01,EPIC 201238110,,1,CANDIDATE,7.90417000000,0.00091000000,-0.00148000000,0,,,,,2.06000000,0.53000000,-0.56000000,0,,,,,,,,,0.26800000,0.02300000,-0.02400000,0,1.9200000,0.3120000,-0.5280000,0,0.05050000,0.00500000,-0.01290000,0,,,,,0.374000,0.089000,-0.035000,0,,,,,,,,,,,,,,,,
25,EPIC 201238110.01,EPIC 201238110,,0,CANDIDATE,7.90696060000,,,0,,,,,3.02000000,,,0,,,,,,,,,0.28000000,,,0,1.7300000,,,0,0.04848000,,,0,3772.00,,,0,0.520000,,,0,,,,,,,,,,,,,,,,
26,EPIC 201238163.01,EPIC 201238163,,1,CANDIDATE,1.08296140000,,,0,,,,,1.56000000,,,0,,,,,,,,,0.06550000,,,0,1.2200000,,,0,0.02378000,,,0,3875.00,,,0,0.560000,,,0,,,,,,,,,,,,,,,,
27,EPIC 201239401.01,EPIC 201239401,,1,CANDIDATE,0.90565500000,0.00004900000,-0.00005000000,0,,,,,1.57000000,0.16000000,-0.26000000,0,,,,,,,,,0.06780000,0.00420000,-0.00440000,0,1.4880000,0.1200000,-0.1200000,0,0.02500000,0.00190000,-0.00390000,0,,,,,0.576000,0.040000,-0.028000,0,,,,,,,,,,,,,,,,
28,EPIC 201239401.01,EPIC 201239401,,0,CANDIDATE,0.90552205000,,,0,,,,,1.52000000,,,0,,,,,,,,,0.07910000,,,0,1.3200000,,,0,0.02628000,,,0,3710.00,,,0,0.500000,,,0,,,,,,,,,,,,,,,,
29,EPIC 201247497.01,EPIC 201247497,,0,CANDIDATE,2.75411290000,,,0,,,,,4.87000000,,,0,,,,,,,,,0.67100000,,,0,1.2400000,,,0,0.07842000,,,0,3834.00,,,0,0.550000,,,0,,,,,,,,,,,,,,,,
30,EPIC 201247497.01,EPIC 201247497,,1,CANDIDATE,2.75421000000,0.00012000000,-0.00012000000,0,,,,,8.40000000,1.20000000,-6.80000000,0,,,,,,,,,0.74600000,0.05400000,-0.05600000,0,1.3200000,0.1680000,-0.2400000,0,0.08700000,0.01100000,-0.07000000,0,,,,,0.890000,0.063000,-0.010000,0,,,,,,,,,,,,,,,,
31,EPIC 201247497.01,EPIC 201247497,,0,CANDIDATE,2.75391000000,0.00015000000,-0.00015000000,0,,,,,3.78000000,0.68000000,-0.68000000,0,,,,,,,,,,,,,1.0296000,0.1392000,-0.1392000,0,0.07900000,0.01300000,-0.01300000,0,3918.00,46.00,-46.00,0,0.436000,0.027000,-0.027000,0,,,,,,,,,4.846000,0.050000,-0.050000,0,,,,
32,EPIC 201257461.01,EPIC 201257461,,1,FALSE POSITIVE,50.28586900000,,,0,,,,,3.47000000,,,0,,,,,,,,,0.18400000,,,0,12.6200000,,,0,0.05345000,,,0,4859.00,,,0,0.740000,,,0,,,,,,,,,,,,,,,,
33,EPIC 201257461.01,EPIC 201257461,,0,FALSE POSITIVE,50.27762000000,0.00785000000,-0.00785000000,0,,,,,209.52000000,99.23000000,-99.23000000,0,,,,,1466.00,52.00,-52.00,0,,,,,,,,,,,,,5141.00,38.00,-42.00,0,10.960000,0.820000,-0.930000,0,,,,,,,,,,,,,,,,
34,EPIC 201258341.01,EPIC 201258341,,1,CANDIDATE,10.50439000000,0.00059000000,-0.00061000000,0,,,,,1.75000000,0.15000000,-0.43000000,0,,,,,,,,,0.04020000,0.00160000,-0.00160000,0,3.3840000,0.1680000,-0.2160000,0,0.01830000,0.00160000,-0.00450000,0,,,,,0.878000,0.018000,-0.020000,0,,,,,,,,,,,,,,,,
35,EPIC 201259803.01,EPIC 201259803,,1,CANDIDATE,1.68420800000,0.00002400000,-0.00002400000,0,,,,,5.51000000,0.67000000,-0.90000000,0,,,,,,,,,1.47600000,0.03000000,-0.03200000,0,1.3224000,0.0384000,-0.0432000,0,0.11730000,0.00340000,-0.00350000,0,,,,,0.431000,0.051000,-0.069000,0,,,,,,,,,,,,,,,,
36,EPIC 201264302.01,EPIC 201264302,,1,CANDIDATE,0.21220130000,0.00000230000,-0.00000180000,0,,,,,0.51900000,0.04600000,-0.12300000,0,,,,,,,,,0.07250000,0.00340000,-0.00390000,0,0.6240000,0.0288000,-0.0504000,0,0.02530000,0.00180000,-0.00600000,0,,,,,0.188000,0.010000,-0.004000,0,,,,,,,,,,,,,,,,
37,EPIC 201264302.01,EPIC 201264302,,0,CANDIDATE,0.21219899000,,,0,,,,,1.05000000,,,0,,,,,,,,,0.06620000,,,0,0.5200000,,,0,0.02488000,,,0,3468.00,,,0,0.370000,,,0,,,,,,,,,,,,,,,,
38,EPIC 201264302.01,EPIC 201264302,,0,CANDIDATE,0.21219400000,0.00002600000,-0.00002600000,0,,,,,0.77000000,0.18000000,-0.18000000,0,,,,,,,,,,,,,,,,,0.02710000,0.00400000,-0.00200000,0,3299.00,,,0,0.260000,0.050000,-0.050000,0,,,,,,,,,5.106000,,,0,,,,
39,EPIC 201270176.01,EPIC 201270176,,0,CANDIDATE,1.57786430000,,,0,,,,,7.55000000,,,0,,,,,,,,,0.89100000,,,0,3.0200000,,,0,0.11500000,,,0,4811.00,,,0,0.730000,,,0,,,,,,,,,,,,,,,,
40,EPIC 201270176.01,EPIC 201270176,,1,CANDIDATE,1.57771549000,,,0,,,,,,,,,,,,,,,,,1.82300000,0.12100000,-0.12100000,0,3.0860000,0.1480000,-0.1480000,0,,,,,5163.00,166.99,-108.12,0,1.155850,0.065907,-0.089747,0,0.870000,0.120921,-0.093336,0,-0.06789,0.02075,-0.01482,0,4.251780,0.075081,-0.108147,0,0.794295,0.259418,-0.164287,0
41,EPIC 201270464.01,HIP 55390,,1,CANDIDATE,1.57771549000,,,0,,,,,,,,,,,,,,,,,0.87500000,0.01200000,-0.01200000,0,2.9930000,0.0340000,-0.0340000,0,,,,,7333.00,97.84,-154.55,0,2.567520,0.111879,-0.093196,0,1.660000,0.350747,-0.210514,0,1.23485,0.02147,-0.02612,0,3.839150,0.105775,-0.058461,0,0.138271,0.034766,-0.024784,0
42,EPIC 201274010.01,EPIC 201274010,,1,CANDIDATE,13.01130000000,0.00520000000,-0.00422000000,0,,,,,2.43000000,0.25000000,-0.24000000,0,,,,,713.00,21.00,-21.00,0,0.06500000,,,0,2.2008000,,,0,0.02550000,0.00250000,-0.00240000,0,5347.00,122.00,-122.00,0,0.880221,,,0,0.920000,,,0,-0.24368,,,0,4.512670,,,0,1.901856,,,0
43,EPIC 201291843.01,EPIC 201291843,,1,CANDIDATE,40.70206194000,,,0,,,,,,,,,,,,,,,,,0.53600000,0.02800000,-0.02800000,0,1.6210000,4.9800000,-4.9800000,0,,,,,3759.00,157.00,-157.00,0,0.572892,0.017217,-0.017217,0,0.565387,0.020408,-0.020408,0,-1.22887,0.08928,-0.11252,0,4.674270,0.010428,-0.010428,0,4.239291,0.229501,-0.229501,0
44,EPIC 201299088.01,EPIC 201299088,,1,CANDIDATE,21.20473900000,0.00534800000,-0.00552300000,0,,,,,9.11013939,1.16378405,-0.95135653,0,,,,,,,,,,,,,,,,,0.04740900,0.00197300,-0.00184000,0,5154.00,50.00,-50.00,0,1.761722,0.212777,-0.170800,0,,,,,,,,,3.910000,0.100000,-0.100000,0,,,,
45,EPIC 201324549.01,EPIC 201324549,,0,FALSE POSITIVE,2.51933400000,0.00003500000,-0.00003500000,0,,,,,3.91000000,0.85000000,-0.85000000,0,,,,,,,,,,,,,1.5451200,0.0151200,-0.0151200,0,0.02410000,0.00300000,-0.00300000,0,6283.00,113.00,-113.00,0,1.450000,0.250000,-0.250000,0,,,,,,,,,4.170000,0.120000,-0.120000,0,,,,
46,EPIC 201324549.01,EPIC 201324549,,0,FALSE POSITIVE,2.51940390000,0.00002020000,-0.00002020000,0,,,,,7.65729000,,,0,219.3440,,,0,,,,,0.19350000,0.00406849,-0.00406849,0,1.1130000,0.0340000,-0.0340000,0,,,,,6380.00,,,0,1.760000,,,0,,,,,,,,,,,,,,,,
47,EPIC 201324549.01,EPIC 201324549,,1,FALSE POSITIVE,2.51938600000,0.00001400000,-0.00001400000,0,,,,,19.60000000,5.10000000,-8.70000000,0,,,,,,,,,0.20360000,0.00210000,-0.00190000,0,1.5840000,0.0360000,-0.0504000,0,0.08900000,0.02200000,-0.03900000,0,,,,,2.030000,0.178000,-0.068000,0,,,,,,,,,,,,,,,,
48,EPIC 201324549.01,EPIC 201324549,,0,FALSE POSITIVE,2.51881781000,,,0,,,,,,,,,,,,,,,,,0.21500000,0.00700000,-0.00700000,0,1.5800000,0.0570000,-0.0570000,0,,,,,6380.00,,,0,1.762770,,,0,,,,,,,,,,,,,,,,
49,EPIC 201324549.01,EPIC 201324549,,0,FALSE POSITIVE,2.51940780000,,,0,,,,,7.99000000,,,0,,,,,,,,,0.18100000,,,0,1.2400000,,,0,0.04461000,,,0,7119.00,,,0,1.720000,,,0,,,,,,,,,,,,,,,,
