# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Oct  3 16:09:29 2025
#
# User preference: *
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_ror:        Planet-Star Radius Ratio
# COLUMN koi_ror_err1:   Planet-Star Radius Ratio Upper Unc.
# COLUMN koi_ror_err2:   Planet-Star Radius Ratio Lower Unc.
# COLUMN koi_srho:       Fitted Stellar Density [g/cm**3]
# COLUMN koi_srho_err1:  Fitted Stellar Density Upper Unc. [g/cm**3]
# COLUMN koi_srho_err2:  Fitted Stellar Density Lower Unc. [g/cm**3]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_sma:        Orbit Semi-Major Axis [au]
# COLUMN koi_sma_err1:   Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN koi_sma_err2:   Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_insol_err1: Insolation Flux Upper Unc. [Earth flux]
# COLUMN koi_insol_err2: Insolation Flux Lower Unc. [Earth flux]
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_slogg_err1: Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN koi_slogg_err2: Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN koi_smass_err1: Stellar Mass Upper Unc. [Solar mass]
# COLUMN koi_smass_err2: Stellar Mass Lower Unc. [Solar mass]
#
loc_rowid,kepid,kepoi_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_period_err1,koi_period_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2
11,11446443,K00001.01,CONFIRMED,CANDIDATE,0.8110,2.470613377,2.7000000e-08,-2.7000000e-08,1.74319,0.00107,-0.00107,1.4231e+04,4.200e+00,-4.200e+00,0.123871,5.100000e-05,-7.100000e-05,1.83538,0.00587,-0.00846,13.04,5.100e-01,-5.100e-01,0.0354,,,1339.0,,,761.46,106.21,-95.76,5820.00,78.00,-78.00,4.457,0.024,-0.024,0.9640,0.0380,-0.0380,0.9710,0.0620,-0.0560
12,10666592,K00002.01,CONFIRMED,CANDIDATE,1.0000,2.204735417,4.3000000e-08,-4.3000000e-08,3.88864,0.00203,-0.00203,6.6747e+03,1.700e+00,-1.700e+00,0.075522,2.980000e-04,-3.500000e-04,0.37936,0.02846,-0.02633,16.10,8.100e-01,-9.100e-01,0.0376,,,2048.0,,,4148.92,651.59,-654.46,6440.00,76.00,-89.00,4.019,0.033,-0.027,1.9520,0.0990,-0.1100,1.4490,0.0700,-0.0910
13,6922244,K00010.01,CONFIRMED,CANDIDATE,0.9980,3.522498429,1.9800000e-07,-1.9800000e-07,3.19843,0.00653,-0.00653,9.1457e+03,6.600e+00,-6.600e+00,0.092086,1.410000e-04,-1.770000e-04,0.65374,0.01481,-0.01458,14.59,1.110e+00,-1.110e+00,0.0473,,,1521.0,,,1264.67,307.23,-276.48,6225.00,112.00,-137.00,4.169,0.055,-0.045,1.4510,0.1100,-0.1100,1.1320,0.1080,-0.0780
14,10984090,K00112.02,CONFIRMED,CANDIDATE,1.0000,3.709214104,6.5360000e-06,-6.5360000e-06,2.63020,0.04270,-0.04270,1.3110e+02,3.000e+00,-3.000e+00,0.010424,3.180000e-04,-1.470000e-04,1.77451,0.06493,-0.57483,1.16,1.700e-01,-1.200e-01,0.0465,,,1206.0,,,500.46,197.96,-130.54,5833.00,105.00,-117.00,4.407,0.085,-0.114,1.0220,0.1430,-0.1070,0.9740,0.0660,-0.0660
15,10419211,K00742.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,11.521446064,1.9800000e-06,-1.9800000e-06,3.63990,0.01140,-0.01140,1.7984e+04,3.190e+01,-3.190e+01,1.625358,2.847129e+00,-6.633390e-01,1.27376,2.30242,-0.41065,150.51,3.976e+01,-1.331e+01,0.0978,,,753.0,,,75.88,58.89,-19.99,5795.00,155.00,-172.00,4.554,0.033,-0.176,0.8480,0.2240,-0.0750,0.9380,0.0980,-0.1090
16,10464078,K00743.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,19.403937760,2.0680000e-05,-2.0680000e-05,12.21550,0.05980,-0.05980,8.9187e+03,5.330e+01,-5.330e+01,0.096729,5.330000e-04,-5.320000e-04,0.03785,0.00107,-0.00172,7.18,7.600e-01,-6.800e-01,0.1230,,,523.0,,,17.69,6.66,-4.88,5043.00,151.00,-151.00,4.591,0.072,-0.048,0.6800,0.0720,-0.0650,0.6570,0.0850,-0.0360
17,10480982,K00744.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,19.221388942,1.1230000e-06,-1.1230000e-06,4.79843,0.00235,-0.00235,7.4284e+04,2.190e+01,-2.190e+01,0.476633,2.450100e-02,-2.774400e-02,1.57359,0.00657,-0.02917,49.29,1.603e+01,-5.000e+00,0.1417,,,698.0,,,55.97,54.55,-16.40,6117.00,182.00,-200.00,4.496,0.052,-0.208,0.9470,0.3080,-0.0960,1.0250,0.1390,-0.1390
18,10485250,K00745.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,16.469837740,1.3610000e-05,-1.3610000e-05,9.43780,0.06000,-0.06000,1.0479e+04,3.990e+01,-3.990e+01,0.092509,5.980000e-04,-1.109000e-03,0.19353,0.02009,-0.01907,7.94,8.900e-01,-8.900e-01,0.1147,,,595.0,,,29.61,12.01,-8.91,5152.00,168.00,-153.00,4.517,0.088,-0.072,0.7860,0.0880,-0.0880,0.7410,0.1060,-0.0570
19,10526549,K00746.01,CONFIRMED,CANDIDATE,1.0000,9.273581730,1.0370000e-05,-1.0370000e-05,3.28750,0.03090,-0.03090,1.2883e+03,1.680e+01,-1.680e+01,0.032563,3.061000e-03,-6.300000e-04,1.93557,0.52971,-0.14046,2.47,2.000e-01,-2.400e-01,0.0759,,,649.0,,,41.85,12.49,-11.70,4856.00,131.00,-146.00,4.583,0.065,-0.035,0.6960,0.0560,-0.0680,0.6760,0.0880,-0.0470
20,10583066,K00747.01,CONFIRMED,CANDIDATE,1.0000,6.029303290,5.5090000e-06,-5.5090000e-06,1.58210,0.03110,-0.03110,1.9127e+03,3.440e+01,-3.440e+01,0.038838,1.021000e-03,-1.203000e-03,13.09803,1.84066,-3.66782,2.85,2.600e-01,-1.500e-01,0.0585,,,678.0,,,50.04,16.40,-9.88,4537.00,123.00,-123.00,4.648,0.020,-0.056,0.6720,0.0620,-0.0360,0.7610,0.0330,-0.0670
21,10583180,K00748.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,2.696370652,7.5340000e-06,-7.5340000e-06,3.61290,0.06860,-0.06860,3.9790e+02,9.500e+00,-9.500e+00,0.017673,5.510000e-04,-3.110000e-04,0.51471,0.01428,-0.14593,1.58,1.300e-01,-1.600e-01,0.0349,,,1066.0,,,305.34,96.64,-86.33,4989.00,149.00,-149.00,4.504,0.090,-0.060,0.8190,0.0670,-0.0820,0.7810,0.0780,-0.0560
22,10601284,K00749.01,CONFIRMED,CANDIDATE,1.0000,5.349553819,8.8340000e-06,-8.8340000e-06,3.02780,0.04710,-0.04710,8.3100e+02,1.480e+01,-1.480e+01,0.025706,8.450000e-04,-4.530000e-04,1.73782,0.00625,-0.73875,2.55,1.600e-01,-2.400e-01,0.0563,,,919.0,,,168.99,34.66,-38.48,5185.00,85.00,-77.00,4.440,0.098,-0.045,0.9100,0.0570,-0.0860,0.8310,0.0580,-0.0320
23,10601284,K00749.02,CONFIRMED,CANDIDATE,0.9800,3.941052210,1.0940000e-05,-1.0940000e-05,2.59840,0.07370,-0.07370,3.6330e+02,1.390e+01,-1.390e+01,0.017105,7.030000e-04,-5.570000e-04,1.85636,0.37935,-0.52982,1.70,1.100e-01,-1.600e-01,0.0460,,,1018.0,,,253.15,51.91,-57.65,5185.00,85.00,-77.00,4.440,0.098,-0.045,0.9100,0.0570,-0.0860,0.8310,0.0580,-0.0320
24,10601284,K00749.03,CONFIRMED,CANDIDATE,0.9710,8.109048070,6.7870000e-05,-6.7870000e-05,3.59600,0.19800,-0.19800,2.1740e+02,1.680e+01,-1.680e+01,0.013127,8.700000e-04,-5.030000e-04,1.53020,0.23293,-0.63643,1.30,9.000e-02,-1.200e-01,0.0743,,,800.0,,,97.03,19.90,-22.09,5185.00,85.00,-77.00,4.440,0.098,-0.045,0.9100,0.0570,-0.0860,0.8310,0.0580,-0.0320
25,2306756,K00113.01,FALSE POSITIVE,FALSE POSITIVE,,386.603052800,1.3690000e-04,-1.3690000e-04,6.80570,0.01840,-0.01840,2.4927e+04,4.580e+01,-4.580e+01,0.240528,3.529000e-02,-1.977900e-02,4.63335,0.31031,-0.12558,41.50,1.680e+00,-1.680e+00,1.0719,,,297.0,,,1.84,0.26,-0.24,5543.00,79.00,-79.00,4.081,0.014,-0.014,1.5800,0.0640,-0.0640,1.1030,0.0970,-0.0970
26,10662202,K00750.01,CONFIRMED,CANDIDATE,1.0000,21.676991930,7.0100000e-05,-7.0100000e-05,3.45550,0.06560,-0.06560,8.5720e+02,2.710e+01,-2.710e+01,0.032666,2.100000e-05,-5.743000e-03,0.60007,4.80948,-0.06216,2.95,1.200e-01,-2.300e-01,0.1408,,,530.0,,,18.64,2.78,-3.80,4954.00,79.00,-79.00,4.500,0.075,-0.020,0.8280,0.0320,-0.0650,0.7910,0.0500,-0.0290
27,10682541,K00751.01,CONFIRMED,CANDIDATE,1.0000,4.996779680,1.3890000e-05,-1.3890000e-05,2.17170,0.07620,-0.07620,9.3470e+02,3.970e+01,-3.970e+01,0.030014,4.603000e-03,-2.436000e-03,1.71827,2.68075,-1.40683,2.78,5.200e-01,-2.300e-01,0.0559,,,917.0,,,166.95,102.06,-42.14,5339.00,175.00,-159.00,4.552,0.034,-0.136,0.8470,0.1610,-0.0690,0.9310,0.0630,-0.0940
28,11460018,K00769.01,CONFIRMED,CANDIDATE,1.0000,4.280963604,6.1410000e-06,-6.1410000e-06,2.87500,0.04200,-0.04200,7.5080e+02,1.410e+01,-1.410e+01,0.025377,1.410000e-04,-9.350000e-04,1.24482,0.45410,-0.15577,2.30,5.800e-01,-1.900e-01,0.0503,,,1012.0,,,247.87,182.24,-63.32,5644.00,152.00,-169.00,4.564,0.032,-0.168,0.8310,0.2070,-0.0690,0.9280,0.0940,-0.1150
29,11463211,K00770.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.506354090,4.7000000e-07,-4.7000000e-07,1.51550,0.04830,-0.04830,2.2117e+03,1.830e+01,-1.830e+01,0.049899,2.001000e-03,-4.217000e-03,0.84722,0.97599,-0.30543,4.53,1.010e+00,-4.400e-01,0.0250,,,1452.0,,,1054.12,703.10,-292.26,5714.00,155.00,-172.00,4.563,0.040,-0.160,0.8310,0.1860,-0.0800,0.9260,0.0900,-0.1100
30,11465813,K00771.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,670.645531000,1.2370000e-03,-1.2370000e-03,53.41200,0.13100,-0.13100,1.8091e+04,3.350e+01,-3.350e+01,0.131705,2.420000e-04,-3.260000e-04,0.02605,0.00045,-0.00046,14.14,2.130e+00,-7.100e-01,1.5155,,,196.0,,,0.35,0.15,-0.06,5520.00,100.00,-111.00,4.466,0.032,-0.120,0.9830,0.1480,-0.0490,1.0300,0.0420,-0.0580
31,11493732,K00772.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,61.256362800,1.5600000e-04,-1.5600000e-04,7.63300,0.10500,-0.10500,5.1233e+03,7.060e+01,-7.060e+01,0.334628,6.817256e+00,-6.236500e-02,0.12411,1.16709,-0.01383,39.87,1.279e+01,-5.480e+00,0.3137,,,505.0,,,15.43,14.85,-5.51,6144.00,184.00,-220.00,4.402,0.072,-0.217,1.0910,0.3500,-0.1500,1.0930,0.1660,-0.1350
32,11507101,K00773.01,CONFIRMED,CANDIDATE,1.0000,38.377548600,1.6020000e-04,-1.6020000e-04,5.58800,0.11300,-0.11300,7.2420e+02,2.340e+01,-2.340e+01,0.024901,1.840000e-04,-1.271000e-03,1.40588,0.66103,-0.15885,2.82,3.700e-01,-3.400e-01,0.2163,,,529.0,,,18.53,6.72,-4.93,5481.00,82.00,-74.00,4.369,0.121,-0.099,1.0360,0.1380,-0.1240,0.9150,0.0610,-0.0420
33,10910878,K00757.02,CONFIRMED,CANDIDATE,0.9920,41.197255020,9.3450000e-05,-9.3450000e-05,4.62970,0.06330,-0.06330,2.2139e+03,4.550e+01,-4.550e+01,0.041693,1.180000e-03,-6.130000e-04,3.94710,0.11711,-0.98055,3.86,1.500e-01,-3.300e-01,0.2170,,,439.0,,,8.76,1.27,-1.90,5031.00,75.00,-83.00,4.485,0.083,-0.028,0.8480,0.0330,-0.0720,0.8010,0.0520,-0.0300
34,10910878,K00757.03,CONFIRMED,CANDIDATE,1.0000,6.252962249,9.5770000e-06,-9.5770000e-06,2.58190,0.04260,-0.04260,1.0369e+03,2.450e+01,-2.450e+01,0.028604,1.027000e-03,-4.840000e-04,3.28707,0.14618,-1.14248,2.65,1.000e-01,-2.300e-01,0.0617,,,823.0,,,108.30,15.73,-23.44,5031.00,75.00,-83.00,4.485,0.083,-0.028,0.8480,0.0330,-0.0720,0.8010,0.0520,-0.0300
35,10987985,K00758.01,CONFIRMED,CANDIDATE,1.0000,16.013084190,4.8540000e-05,-4.8540000e-05,3.25540,0.07910,-0.07910,1.1219e+03,3.940e+01,-3.940e+01,0.034369,3.169000e-03,-4.367000e-03,1.10942,3.17981,-0.14515,3.10,3.400e-01,-3.100e-01,0.1148,,,593.0,,,29.31,11.77,-8.24,5015.00,164.00,-149.00,4.499,0.092,-0.115,0.8260,0.0910,-0.0820,0.7850,0.0850,-0.0560
36,11018648,K00759.01,CONFIRMED,CANDIDATE,1.0000,32.628766720,5.8010000e-05,-5.8010000e-05,4.79710,0.05800,-0.05800,1.8048e+03,2.540e+01,-2.540e+01,0.038520,9.710000e-04,-3.650000e-04,2.79093,0.07518,-0.76489,3.36,7.600e-01,-3.300e-01,0.1889,,,506.0,,,15.55,10.51,-4.18,5586.00,152.00,-152.00,4.560,0.050,-0.150,0.7980,0.1810,-0.0770,0.8440,0.0970,-0.0780
37,11018648,K00759.02,CONFIRMED,CANDIDATE,0.9780,91.773286200,7.5180000e-04,-7.5180000e-04,6.47300,0.20400,-0.20400,6.5200e+02,3.620e+01,-3.620e+01,0.024320,7.051000e-03,-1.216000e-03,1.60558,1.35632,-1.45250,2.12,4.800e-01,-2.100e-01,0.3764,,,359.0,,,3.92,2.64,-1.06,5586.00,152.00,-152.00,4.560,0.050,-0.150,0.7980,0.1810,-0.0770,0.8440,0.0970,-0.0780
38,11138155,K00760.01,CONFIRMED,CANDIDATE,1.0000,4.959319244,5.1500000e-07,-5.1500000e-07,2.22739,0.00750,-0.00750,9.8020e+03,2.000e+01,-2.000e+01,0.103379,1.245000e-03,-7.400000e-05,1.46169,0.05503,-0.18338,12.21,1.960e+00,-1.460e+00,0.0565,,,1103.0,,,349.40,146.52,-93.21,5712.00,77.00,-77.00,4.359,0.110,-0.110,1.0820,0.1730,-0.1300,0.9760,0.0730,-0.0550
39,11152159,K00761.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,2.701287801,5.6340000e-06,-5.6340000e-06,3.38270,0.08920,-0.08920,8.6040e+02,2.090e+01,-2.090e+01,0.065840,3.758761e+00,-3.210100e-02,0.02818,0.41088,-0.00767,6.54,1.640e+00,-7.500e-01,0.0365,,,1222.0,,,527.81,411.33,-166.35,5550.00,182.00,-182.00,4.468,0.091,-0.169,0.9100,0.2280,-0.1050,0.8890,0.1020,-0.0830
40,11153539,K00762.01,CONFIRMED,CANDIDATE,1.0000,4.498765110,1.7770000e-05,-1.7770000e-05,3.73620,0.09340,-0.09340,4.6000e+02,1.750e+01,-1.750e+01,0.019817,4.580000e-04,-7.890000e-04,0.67106,0.14046,-0.19399,2.10,6.500e-01,-2.200e-01,0.0542,,,1133.0,,,389.62,365.71,-117.40,6075.00,189.00,-210.00,4.486,0.052,-0.208,0.9690,0.3000,-0.1000,1.0480,0.1390,-0.1390
41,11242721,K00763.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,19.651209505,5.8620000e-06,-5.8620000e-06,5.25140,0.01790,-0.01790,1.1766e+04,2.770e+01,-2.770e+01,0.106953,5.360000e-04,-5.100000e-05,0.67559,0.05956,-0.03177,12.42,3.920e+00,-1.690e+00,0.1433,,,730.0,,,67.03,62.46,-23.51,6074.00,168.00,-210.00,4.391,0.090,-0.210,1.0630,0.3360,-0.1440,1.0140,0.1530,-0.1260
42,9579641,K00115.01,CONFIRMED,CANDIDATE,1.0000,5.412203927,3.0520000e-06,-3.0520000e-06,2.94720,0.02400,-0.02400,6.0160e+02,4.000e+00,-4.000e+00,0.024775,6.000000e-05,-1.886000e-03,0.51087,1.25402,-0.00404,2.94,4.300e-01,-3.800e-01,0.0591,,,1093.0,,,337.68,137.29,-102.18,5779.00,104.00,-115.00,4.339,0.132,-0.108,1.0870,0.1570,-0.1420,0.9410,0.0740,-0.0540
